partID,productLine,prodCategory
part04f1b0a,linea3,Marketables
part04fb817,line55,SpareParts
part05033f9,linea3,Marketables
part0506e9,linec1,Marketables
part051e8e9,line55,SpareParts
part0520cb8,line4b,Machines
part0521abd,line55,SpareParts
part05257e,linea3,Marketables
part0527079,linea3,Marketables
part052e9c6,line2f,Machines
part053371b,linea3,Marketables
part0540af1,linec1,Marketables
part0549cbf,line49,Liquids
part0552aaa,lined6,Liquids
part0555b14,line4b,Machines
part0555dcb,line9b,Machines
part05595c8,line49,Liquids
part0559af8,linea3,Marketables
part055e051,linea3,Marketables
part056064e,line49,Liquids
part056412b,linec1,Marketables
part0569fe1,line55,SpareParts
part0586ea5,linec1,Marketables
part0589a7a,line55,SpareParts
part058eed7,line49,Liquids
part0592bec,linea3,Marketables
part059b373,linea3,Marketables
part059c464,line56,Machines
part05a3f10,linea3,Marketables
part05a9656,lined6,Liquids
part05abad8,line55,SpareParts
part05b01fc,lined6,Liquids
part05b0bdf,line55,SpareParts
part05b9564,lined6,Liquids
part05bbbf4,line55,SpareParts
part05c4767,line49,Liquids
part05c47fa,line55,SpareParts
part05c7a48,line55,SpareParts
part05cca6f,linea3,Marketables
part05ce661,linec8,Machines
part05d4912,line49,Liquids
part05d4d80,line4c,Liquids
part05d5d53,line4c,Liquids
part05d67ab,line49,Liquids
part05dd855,line4c,Liquids
part05e0a4d,line55,SpareParts
part05e92e,line49,Liquids
part05ecc23,line5f,Machines
part05ef772,linef3,Machines
part05f3d9e,line55,SpareParts
part05f4b22,line56,Machines
part05f7686,line7a,Machines
part05fc3e0,linea3,Marketables
part0606f24,line4b,Machines
part060b9bb,line55,SpareParts
part0616628,linea3,Marketables
part06175b5,line4c,Liquids
part061cbcd,line4b,Machines
part062063d,line55,SpareParts
part0621172,lined6,Liquids
part06212e1,linec1,Marketables
part062324f,line49,Liquids
part0623bcb,linec1,Marketables
part0626b64,line7a,Machines
part062a27d,lined6,Liquids
part062dbca,lined6,Liquids
part063085e,linea3,Marketables
part063329f,line4b,Machines
part06345a6,line94,Machines
part0635043,linea3,Marketables
part06356c1,line48,Machines
part0638e53,line55,SpareParts
part063cec2,line6d,Machines
part063ee81,line55,SpareParts
part0643e16,lined6,Liquids
part064697f,line4c,Liquids
part064b8f5,linea3,Marketables
part064e877,line94,Machines
part064eb2e,linec1,Marketables
part06566b9,line55,SpareParts
part065af2e,line55,SpareParts
part065fbb9,line55,SpareParts
part065fd51,line55,SpareParts
part0666061,line55,SpareParts
part0667701,line55,SpareParts
part067098e,linec1,Marketables
part06712ba,linea3,Marketables
part06741b1,linec1,Marketables
part0678947,line55,SpareParts
part067d4b5,line49,Liquids
part068771a,line55,SpareParts
part06912b,lined6,Liquids
part0698ea5,linea3,Marketables
part06a119c,line4c,Liquids
part06a13e0,line49,Liquids
part06b2b89,line55,SpareParts
part06b8c4f,line4c,Liquids
part06c130,line49,Liquids
part06c2881,lined6,Liquids
part06c486c,line55,SpareParts
part06cbb7a,line55,SpareParts
part06cfdfb,linea3,Marketables
part06d98cc,lined6,Liquids
part06dbc6e,linea3,Marketables
part06e6a3c,linec1,Marketables
part06e75a3,linec1,Marketables
part06fbf52,line49,Liquids
part06fc981,linec1,Marketables
part06ffa6f,linec1,Marketables
part0700b26,line55,SpareParts
part0706df0,line4b,Machines
part071852a,linea3,Marketables
part07194e,lined6,Liquids
part071d89e,line55,SpareParts
part072736a,linec8,Machines
part072b1b4,line49,Liquids
part073a6f1,linea3,Marketables
part073ab36,line4b,Machines
part0740543,line55,SpareParts
part07467a2,line55,SpareParts
part074e215,line49,Liquids
part074f90e,linec1,Marketables
part075e008,linec1,Marketables
part0760671,line55,SpareParts
part0764781,line71,Machines
part076717c,line6d,Machines
part07671a5,lined6,Liquids
part076b146,linec1,Marketables
part0773dab,line55,SpareParts
part07764ad,linea3,Marketables
part0776e2d,line55,SpareParts
part0779daa,line9b,Machines
part07952e8,line49,Liquids
part0797026,lined6,Liquids
part079c0b,linea3,Marketables
part079c849,lined6,Liquids
part079cf9a,line49,Liquids
part07a38e4,linea3,Marketables
part07a3b17,linec1,Marketables
part07a4ad3,line4c,Liquids
part07a5fc0,linea3,Marketables
part07b232b,line55,SpareParts
part07bee5e,linea3,Marketables
part07bf3e2,line4c,Liquids
part07c8896,line55,SpareParts
part07d005,line94,Machines
part07d2501,line7a,Machines
part07ddfa9,line49,Liquids
part07dea4f,linea3,Marketables
part07e6088,linec1,Marketables
part07e9368,line55,SpareParts
part07eb178,linec8,Machines
part07f1b1,linea3,Marketables
part07f8233,line49,Liquids
part07fb4d0,line94,Machines
part07fe1df,line55,SpareParts
part07fedf7,linec1,Marketables
part0809db3,line49,Liquids
part0811e52,line55,SpareParts
part081523e,line55,SpareParts
part081f8f4,line9b,Machines
part082053,linea3,Marketables
part0829730,line55,SpareParts
part0831e1c,line2f,Machines
part083287f,line4c,Liquids
part0834651,linea3,Marketables
part083827d,linec1,Marketables
part083e0fe,lined6,Liquids
part08413ef,line49,Liquids
part0845676,linea3,Marketables
part084e342,line55,SpareParts
part085db08,line49,Liquids
part085ddf6,line6d,Machines
part08688c7,linec1,Marketables
part086af59,line49,Liquids
part0888ae1,linea3,Marketables
part088be09,line49,Liquids
part08906e9,linea3,Marketables
part0890b82,linea3,Marketables
part089481e,line49,Liquids
part089649c,linea3,Marketables
part089d1ea,line55,SpareParts
part08ae3fb,line4b,Machines
part08b7f74,line6d,Machines
part08c2be3,linec1,Marketables
part08c43b7,line55,SpareParts
part08caa48,linec1,Marketables
part08cadf5,line4b,Machines
part08d5cb3,linec8,Machines
part08d5f32,line49,Liquids
part08dd28c,line55,SpareParts
part08e850b,line55,SpareParts
part08e853,linec1,Marketables
part08f25df,line55,SpareParts
part0902587,line9b,Machines
part090664d,linea3,Marketables
part09078d3,line49,Liquids
part090aa7b,line55,SpareParts
part0914f3,line55,SpareParts
part091a17c,lined6,Liquids
part091b294,line55,SpareParts
part091c32f,linea3,Marketables
part091d6d4,line49,Liquids
part091ee6f,lined6,Liquids
part0922aeb,line49,Liquids
part0926220,line6d,Machines
part092ba14,line4b,Machines
part0933ae3,line60,Machines
part0945ee9,line9b,Machines
part0950021,linea3,Marketables
part095e267,line55,SpareParts
part0961cdc,line61,Machines
part0964de9,line49,Liquids
part0965c6c,linec1,Marketables
part096f2a1,line9b,Machines
part097c6e1,linec1,Marketables
part098278e,linea3,Marketables
part0987f63,line55,SpareParts
part0988449,lined6,Liquids
part099152d,linec1,Marketables
part099e7a4,lined6,Liquids
part09a69d9,lined6,Liquids
part09a9614,linea3,Marketables
part09a9b8e,linea3,Marketables
part09ab2ee,line49,Liquids
part09ad06b,lined6,Liquids
part09adef2,line49,Liquids
part09b1115,line9b,Machines
part09c0113,linea3,Marketables
part09c5a46,line55,SpareParts
part09c870d,linea3,Marketables
part09c9069,line9b,Machines
part09ceed3,line39,Machines
part09db3d5,line49,Liquids
part09dc912,line4b,Machines
part09e098f,line4c,Liquids
part09e85b0,linec1,Marketables
part09eda33,lined6,Liquids
part09f2d50,line5f,Machines
part09f9844,line49,Liquids
part09fdbfa,line49,Liquids
part09fe478,line49,Liquids
part0a0133f,linea3,Marketables
part0a0a9a5,line55,SpareParts
part0a0d3ff,line55,SpareParts
part0a0e319,line49,Liquids
part0a111a9,line55,SpareParts
part0a13482,line55,SpareParts
part0a179ba,line4c,Liquids
part0a17c1f,line49,Liquids
part0a2fa4b,linea3,Marketables
part0a33110,linea3,Marketables
part0a3398,linea3,Marketables
part0a33f4c,line55,SpareParts
part0a37799,linea3,Marketables
part0a3a6e7,linea3,Marketables
part0a46ef2,line9b,Machines
part0a48fc8,line49,Liquids
part0a4d6e5,line55,SpareParts
part0a4f274,linea3,Marketables
part0a5a62,linea3,Marketables
part0a5a87a,line55,SpareParts
part0a63eb3,linea3,Marketables
part0a677c2,lined6,Liquids
part0a6a33,line49,Liquids
part0a6bd20,lined6,Liquids
part0a6dae2,linec1,Marketables
part0a6efcd,linea3,Marketables
part0a6f1e6,linea3,Marketables
part0a7173,line55,SpareParts
part0a782b6,line55,SpareParts
part0a7ab6a,line49,Liquids
part0a7b6ae,linea3,Marketables
part0a7b6ed,linea3,Marketables
part0a7ced5,lined6,Liquids
part0a7e137,line55,SpareParts
part0a7f7c6,line7a,Machines
part0a83954,line9b,Machines
part0a851ea,linec1,Marketables
part0a900a3,line39,Machines
part0a96733,line4c,Liquids
part0aa110,line56,Machines
part0aa170c,line55,SpareParts
part0aa6694,line49,Liquids
part0ab32ab,line55,SpareParts
part0ab69f,line39,Machines
part0ab7cc5,line55,SpareParts
part0aba25a,linea3,Marketables
part0abcde2,lined6,Liquids
part0abee45,line55,SpareParts
part0ad3ead,linea3,Marketables
part0ad46dc,linea3,Marketables
part0adcb88,linec1,Marketables
part0adffe3,linec1,Marketables
part0ae505,line7a,Machines
part0af25d3,line4c,Liquids
part0afd0cb,line55,SpareParts
part0b0999f,line55,SpareParts
part0b151eb,linea3,Marketables
part0b1bcd5,line9b,Machines
part0b1c61c,linea3,Marketables
part0b1d69e,lineb8,Machines
part0b1fc85,lined6,Liquids
part0b1ff5e,linec1,Marketables
part0b23071,line55,SpareParts
part0b242ef,line9b,Machines
part0b2a09a,linea3,Marketables
part0b2ec57,lined6,Liquids
part0b328e6,line2f,Machines
part0b42f14,linea3,Marketables
part0b439ba,linea3,Marketables
part0b45660,lined6,Liquids
part0b45e48,linea3,Marketables
part0b48f36,linea3,Marketables
part0b4aef1,lined6,Liquids
part0b574d8,line4b,Machines
part0b5ae2e,linea3,Marketables
part0b5bd28,lined6,Liquids
part0b5d616,linea3,Marketables
part0b63343,line49,Liquids
part0b6928f,linea3,Marketables
part0b79e3b,line55,SpareParts
part0b7ce73,linea3,Marketables
part0b81d,line49,Liquids
part0b87b90,line55,SpareParts
part0b8da34,line6d,Machines
part0b93db1,line61,Machines
part0b96849,lined6,Liquids
part0b9f59b,linea3,Marketables
part0ba209f,linec1,Marketables
part0ba59af,line9b,Machines
part0ba5f3b,linea3,Marketables
part0bac88e,line55,SpareParts
part0bba4a5,linec1,Marketables
part0bbc265,line55,SpareParts
part0bce224,line55,SpareParts
part0bd7774,linec1,Marketables
part0bdf587,lined6,Liquids
part0bedc2e,linea3,Marketables
part0bf61ec,line49,Liquids
part0bfc6d8,line49,Liquids
part0bfc9a3,linea3,Marketables
part0c065f6,line55,SpareParts
part0c08305,line49,Liquids
part0c156d5,linea3,Marketables
part0c18ef9,linec1,Marketables
part0c1b3e,lined6,Liquids
part0c1c740,line7a,Machines
part0c23e32,linea3,Marketables
part0c27566,line4c,Liquids
part0c27f79,linea3,Marketables
part0c2b8a6,lined6,Liquids
part0c2cddb,line9b,Machines
part0c3e7ea,line39,Machines
part0c43e79,line6d,Machines
part0c43efa,linec1,Marketables
part0c451be,line55,SpareParts
part0c48bac,linec1,Marketables
part0c4c16d,line6d,Machines
part0c4d936,linea3,Marketables
part0c4f3cf,linea3,Marketables
part0c5ba0f,lined6,Liquids
part0c5bf9a,linea3,Marketables
part0c5fa2f,line49,Liquids
part0c609d,line55,SpareParts
part0c6d20b,line49,Liquids
part0c72cd8,lined6,Liquids
part0c767a,linea3,Marketables
part0c7b253,linea3,Marketables
part0c7ca22,linea3,Marketables
part0c7f6e6,line6d,Machines
part0c80990,line39,Machines
part0c80deb,linec1,Marketables
part0c80ec4,linea3,Marketables
part0c8608a,line55,SpareParts
part0c93f1b,line55,SpareParts
part0c95268,linea3,Marketables
part0c95bd9,lined6,Liquids
part0c99644,linea3,Marketables
part0c9b492,lined6,Liquids
part0ca2770,line55,SpareParts
part0cac13a,line55,SpareParts
part0cad6f8,line49,Liquids
part0cb3678,line60,Machines
part0cb6e16,line7a,Machines
part0cb7061,line94,Machines
part0cb8d35,line4c,Liquids
part0cc1b42,linea3,Marketables
part0cc50f3,line49,Liquids
part0cc5e03,line55,SpareParts
part0cc70e5,lined6,Liquids
part0ccca3c,linea3,Marketables
part0cd4262,linea3,Marketables
part0cd7c74,line9b,Machines
part0cda75c,line2f,Machines
part0cdc657,line5f,Machines
part0ce06fb,linea3,Marketables
part0ce54b9,line55,SpareParts
part0cf1e6a,line55,SpareParts
part0cf5651,line94,Machines
part0cf7b57,linea3,Marketables
part0cf8681,line55,SpareParts
part0cfae65,linec1,Marketables
part0cfc32d,line55,SpareParts
part0cfdf64,linea3,Marketables
part0cfe3e0,linec1,Marketables
part0d00ec6,linea3,Marketables
part0d01dcf,line49,Liquids
part0d15193,lined6,Liquids
part0d1aaa1,linec1,Marketables
part0d1c0c6,line9b,Machines
part0d1df31,linec1,Marketables
part0d22fb5,line55,SpareParts
part0d25cd2,linec1,Marketables
part0d26d05,line4b,Machines
part0d27fe2,line49,Liquids
part0d2b0ab,line49,Liquids
part0d30662,line9b,Machines
part0d35419,line55,SpareParts
part0d36e0e,line7a,Machines
part0d39cc6,lined6,Liquids
part0d53cc0,line49,Liquids
part0d5a569,line4c,Liquids
part0d65e82,lineb8,Machines
part0d6e0e1,line49,Liquids
part0d6e89,line60,Machines
part0d7daf4,lined6,Liquids
part0d8dd77,line55,SpareParts
part0d8ecf7,linec1,Marketables
part0d90917,line55,SpareParts
part0d90cf1,line49,Liquids
part0db0ba7,linec1,Marketables
part0db3293,linea3,Marketables
part0db7873,linea3,Marketables
part0db8c75,line55,SpareParts
part0dba564,linea3,Marketables
part0dba90d,linea3,Marketables
part0dbe3ed,linea3,Marketables
part0dc4b50,line48,Machines
part0dc5deb,line55,SpareParts
part0dc6600,linea3,Marketables
part0dcbc7c,linea3,Marketables
part0dcd5b1,line55,SpareParts
part0dcfff8,linea3,Marketables
part0dd2da5,line4c,Liquids
part0dd6fb2,line60,Machines
part0ddc825,lineb8,Machines
part0de7bb9,linea3,Marketables
part0deaac7,linea3,Marketables
part0df10c1,lined6,Liquids
part0df49a7,lined6,Liquids
part0df925b,lined6,Liquids
part0e0809c,line55,SpareParts
part0e09045,line55,SpareParts
part0e0970d,lined6,Liquids
part0e0c358,linec1,Marketables
part0e0e068,linec1,Marketables
part0e27a3a,line49,Liquids
part0e2948,linec1,Marketables
part0e46e6e,line49,Liquids
part0e4a665,line55,SpareParts
part0e5a6a9,line49,Liquids
part0e63620,linea3,Marketables
part0e67462,line49,Liquids
part0e6aee2,linea3,Marketables
part0e6de51,line49,Liquids
part0e6df6c,line55,SpareParts
part0e76b2c,line55,SpareParts
part0e7bf09,line55,SpareParts
part0e8930a,line55,SpareParts
part0e8afbd,line49,Liquids
part0e8d20e,line55,SpareParts
part0e8d2a6,line55,SpareParts
part0e910cb,linea3,Marketables
part0e94f0,line4b,Machines
part0e95cba,linec1,Marketables
part0e976f2,linec1,Marketables
part0e9be08,linec1,Marketables
part0e9dcf0,line4c,Liquids
part0ea444b,line55,SpareParts
part0ea4e41,linea3,Marketables
part0eae19d,linea3,Marketables
part0eb1150,line60,Machines
part0eb1c0f,line4c,Liquids
part0eb2be7,line49,Liquids
part0eb9512,line55,SpareParts
part0ec3521,linea3,Marketables
part0ec5bd6,linea3,Marketables
part0ec7c48,linec1,Marketables
part0ec83ae,linea3,Marketables
part0ed1761,linea3,Marketables
part0ed277a,line94,Machines
part0ed9c91,linea3,Marketables
part0edbb20,line55,SpareParts
part0ee29da,line9b,Machines
part0eef5c,line55,SpareParts
part0ef62dd,line55,SpareParts
part0ef98bc,line4c,Liquids
part0efcf98,linea3,Marketables
part0efdfe8,linec1,Marketables
part0f0629b,linea3,Marketables
part0f0a586,line55,SpareParts
part0f1411a,line55,SpareParts
part0f1dc6a,line49,Liquids
part0f237fb,line4b,Machines
part0f280ef,line49,Liquids
part0f2b22f,line49,Liquids
part0f2be8a,linea3,Marketables
part0f33635,line55,SpareParts
part0f3ebc1,line4b,Machines
part0f46a40,lined6,Liquids
part0f498a3,line55,SpareParts
part0f49bde,linea3,Marketables
part0f513cf,linec1,Marketables
part0f52a4d,line4b,Machines
part0f557a9,line4c,Liquids
part0f5a93,linea3,Marketables
part0f5c41c,line55,SpareParts
part0f6606f,line49,Liquids
part0f67382,linea3,Marketables
part0f6a2fc,linea3,Marketables
part0f6e4d9,lined6,Liquids
part0f7a930,line94,Machines
part0f85d3a,line60,Machines
part0f87bd7,line55,SpareParts
part0f88935,linec1,Marketables
part0f9cc64,linec1,Marketables
part0fa0df7,line55,SpareParts
part0fa49c1,line55,SpareParts
part0fa55ab,line4c,Liquids
part0fa97f5,line55,SpareParts
part0faecdd,line4c,Liquids
part0fb3c41,line55,SpareParts
part0fb461b,line55,SpareParts
part0fb54ed,linea3,Marketables
part0fbbc0b,line4c,Liquids
part0fbca08,line55,SpareParts
part0fcfb81,linea3,Marketables
part0fe42a,linec1,Marketables
part0fe4a71,linea3,Marketables
part0fee666,line55,SpareParts
part0ff5588,line55,SpareParts
part0ffa5ab,line55,SpareParts
part1001600,lined6,Liquids
part1001a3d,line2f,Machines
part1001f51,line4c,Liquids
part100f77d,line49,Liquids
part1018ddd,line39,Machines
part1019fc6,line55,SpareParts
part101bbe1,line9b,Machines
part101f063,line49,Liquids
part1023664,lined6,Liquids
part102a9aa,linea3,Marketables
part10354be,line55,SpareParts
part10370f0,linea3,Marketables
part103a394,lined6,Liquids
part103cc12,linea3,Marketables
part10405b3,linec1,Marketables
part104daac,line55,SpareParts
part1050610,lined6,Liquids
part1068786,line49,Liquids
part106e19b,linec1,Marketables
part10706b1,line55,SpareParts
part107ac58,line90,Machines
part107d038,lined6,Liquids
part107da54,linec1,Marketables
part1080218,lined6,Liquids
part10831ac,linea3,Marketables
part108a3be,line94,Machines
part1094872,lined6,Liquids
part1094eca,line6d,Machines
part1095c4f,line60,Machines
part1099f94,line61,Machines
part109ac53,line2f,Machines
part10a63a7,line39,Machines
part10ab48e,linea3,Marketables
part10b2ad7,line60,Machines
part10b385f,linea3,Marketables
part10b3b36,line49,Liquids
part10bbfff,linea3,Marketables
part10bdea5,lined6,Liquids
part10be746,line49,Liquids
part10ca0fd,lined6,Liquids
part10caa8a,line4b,Machines
part10e3ac4,line49,Liquids
part10f2003,linea3,Marketables
part10f7ca3,line55,SpareParts
part10fd6d8,line49,Liquids
part10ff579,line55,SpareParts
part111b99c,line4c,Liquids
part111c36f,lined6,Liquids
part111d6eb,line55,SpareParts
part111ffad,linea3,Marketables
part11229c3,linec1,Marketables
part11230f0,lined6,Liquids
part1128d68,line55,SpareParts
part112a7bb,line55,SpareParts
part112fc6b,line55,SpareParts
part113086c,line4c,Liquids
part1137f75,line4c,Liquids
part113d912,linea3,Marketables
part1144f65,line4c,Liquids
part1147701,line55,SpareParts
part114f283,line4b,Machines
part115c8fb,linea3,Marketables
part115ec74,line49,Liquids
part1161511,line55,SpareParts
part11647e3,line4c,Liquids
part1175945,line55,SpareParts
part117cf5e,line4c,Liquids
part1181e2a,line49,Liquids
part118235c,line49,Liquids
part11871c5,line49,Liquids
part118b0b4,line9b,Machines
part118d240,linea3,Marketables
part118e0c1,linea3,Marketables
part11958a4,linea3,Marketables
part1195bcd,line49,Liquids
part11a05b1,line4c,Liquids
part11b8a36,line49,Liquids
part11baca2,linea3,Marketables
part11c0e1,line49,Liquids
part11c3049,lined6,Liquids
part11c682,line55,SpareParts
part11cf090,linec8,Machines
part11d48ae,linea3,Marketables
part11d5cf8,linea3,Marketables
part11d90bd,line4c,Liquids
part11debc6,line55,SpareParts
part11e17f5,linec1,Marketables
part11e6adc,linea3,Marketables
part11ed64b,linea3,Marketables
part11f1b8,line4b,Machines
part11f4792,line4c,Liquids
part11f4943,line4c,Liquids
part11fb84,linea3,Marketables
part11fc090,line55,SpareParts
part11fe9d6,line55,SpareParts
part1208475,line49,Liquids
part120a9ab,linea3,Marketables
part120df1f,linef3,Machines
part1219745,lined6,Liquids
part121cadb,line6d,Machines
part122a450,line49,Liquids
part122cc65,line49,Liquids
part12336e9,lined6,Liquids
part123cbc4,line55,SpareParts
part123cff4,line55,SpareParts
part12420db,linea3,Marketables
part1245c17,linea3,Marketables
part1245f59,lined6,Liquids
part124d1f6,linec1,Marketables
part1250628,linea3,Marketables
part1257dd8,linec1,Marketables
part125cc9,line4c,Liquids
part1260780,lined6,Liquids
part1270ac9,line55,SpareParts
part1271096,linec1,Marketables
part1276ca8,line55,SpareParts
